rownames(exprMat)	LAU125	LAU355	LAU1255	LAU1314
FAM21FP	0	0.27	0	0.28
FAM220A	19.81	10.06	5.76	12.48
FAM220BP	0	0	0	0
FAM220CP	0	0	0	0.04
FAM221A	1.91	3.45	0.92	3.23
FAM221B	0.05	0.46	0.08	0.28
FAM222A	4.33	0.07	1.58	0.34
FAM222B	8.92	3.44	4.33	4.63
FAM224A	0	0	0.1	0.02
FAM224B	0	0	0.01	0
FAM225A	0.31	0.03	0.39	0.13
FAM225B	0	0.05	0.12	0
FAM227A	0.05	0	0.22	0
FAM227B	2.65	1.89	1.1	2.02
FAM228A	0.09	0.14	0.19	0
FAM228B	13.31	19.32	12.14	17.7
FAM229A	0.29	0.94	0.77	0.9
FAM229B	10.73	0.4	1.53	0.53
FAM230B	0	0	0	0
FAM234A	42.11	10.28	21.08	9.95
FAM234B	6.01	1.91	2.36	2.54
FAM236D	0	0	0	0
FAM237A	0	0	0	0
FAM238A	0	0.26	0	0.14
FAM238B	0	0.43	0	0
FAM239A	0	2.87	0.19	1.19
FAM239B	7.32	8.85	0	5.5
FAM239C	1.29	0.46	0	1.06
FAM241A	4.56	5.82	3.03	9.25
FAM241B	1.64	1.8	4.22	1.78
FAM24A	0	0	0	0
FAM24B	0.12	3.06	1.64	3.03
FAM25A	0	0	0	0
FAM25E	0	0	0	0
FAM25G	0	0	0	0
FAM27C	0	0	0	0
FAM27E4	0	0	0	0
FAM27E5	0	0	0	0.04
FAM30A	1.5	57.81	5.29	64.25
FAM32A	60.73	40.37	33.41	42.97
FAM32BP	0.21	3.56	0.65	3.34
FAM35A	12.68	16.32	10.09	16.25
FAM35BP	0.18	0.88	0.72	0.72
FAM35DP	0	0.37	0.05	0.07
FAM3A	8.57	7.4	8.31	7.12
FAM3B	0.66	0.24	0.02	0.13
FAM3C	169.02	64.09	67.08	82.01
FAM3C2	118.73	41.01	62.71	55.28
FAM3D	0.02	0	0	0.02
FAM3D-AS1	0.95	0.29	0.1	0.47
FAM41AY1	0	0	0	0
FAM41AY2	0	0	0	0
FAM41C	2.07	2.66	0.55	4.44
FAM43A	6.01	3.26	2.34	5.19
FAM43B	0	0.05	0	0
FAM45A	25.63	17.12	21.23	16.96
FAM45BP	0	0	0	0
FAM46A	13.41	8.98	2.95	3.33
FAM46B	1.29	0.03	11.02	0.06
FAM46C	7.27	68.19	27.36	28.33
FAM46D	0	0	0.03	0
FAM47A	0	0	0	0
FAM47B	0	0	0	0
FAM47C	0	0	0	0
FAM47DP	0	0	0	0
FAM47E	5.01	0.61	5.72	1.12
FAM49A	1.94	33.68	6.99	26.16
FAM49B	59.83	166.99	92.85	160.86
FAM50A	42.56	30.31	47.36	24.01
FAM50B	2.6	2.03	1.17	2.15
FAM53A	0.25	0.23	0.18	0.24
FAM53B	4.05	31.16	17.7	32.33
FAM53B-AS1	0.3	0.13	0.27	0.04
FAM53C	13.44	29.37	28.34	14.37
FAM57A	19.36	0.9	2.18	1.63
FAM57B	0.03	0	0.02	0.02
FAM58BP	0	0	0	0
FAM58CP	0	0	0	0
FAM58DP	0	0.1	0	0
FAM60DP	0	0	0	0
FAM66A	1.01	0.12	0.02	0.1
FAM66B	0.41	0.52	1.8	2.73
FAM66C	1.01	0.22	0.15	0.11
FAM66D	0.44	0.14	0.29	0.17
FAM66E	0.77	0.56	0.57	1.05
FAM69A	13.19	17.28	9.62	18.71
FAM69B	3.59	1.02	2.61	0.4
FAM69C	7.02	0.05	4.36	0
FAM71A	0.33	0.12	0.06	0.08
FAM71B	0	0	0	0.03
FAM71C	0	0	0	0
FAM71D	0	0.15	0.17	0
FAM71E1	0.19	0	0.11	0.06
FAM71E2	0	0	0	0
FAM71F1	0.02	0	0.01	0
FAM71F2	0.41	0.76	0.32	0.45
FAM72A	5.52	3.55	4.94	7.58
FAM72B	15.2	3.92	4.69	7.91
FAM72D	4.54	3.2	2.47	7.55
FAM74A1	0.48	0	0	0
FAM76A	6.45	6.68	5.78	7.82
FAM76B	10.33	17.12	11.55	20.65
FAM78A	1.86	23.23	4.65	28.3
FAM78B	3.11	0.24	1.31	0.49
FAM81A	0.97	2.31	0.91	3.54
FAM81B	0	0	0	0
FAM83A	0	0.05	0	0
FAM83A-AS1	0	0	0	0
FAM83B	0	0	0	0.01
FAM83C	0	0	0	0.01
FAM83C-AS1	0	0	0.08	0
FAM83D	10.13	2.01	2.95	2.7
FAM83E	0	0	0.01	0.02
FAM83F	0.15	0	0	0
FAM83G	0.39	2.32	0.93	3
FAM83H	1.39	0.24	1.81	0.28
FAM84A	0.01	0	0	0.01
FAM84B	14.62	5.68	18.55	5.77
FAM85B	0.2	0.01	0.08	0.11
FAM86B1	6.95	1.82	2.18	3.26
FAM86B2	0.13	0	0.19	0
FAM86B3P	0.94	0.72	0.52	0.43
FAM86C1	5.06	4.4	8.34	2.3
FAM86C2P	2.42	1.32	3.43	1.12
FAM86DP	8.13	3.81	2.12	2.18
FAM86EP	3.06	2.08	1.65	2.24
FAM86FP	0.02	0.09	0.02	0
FAM86GP	0.32	0.11	0.17	0.07
FAM86HP	0.1	0	1.02	0.12
FAM86JP	2.86	1.88	1.34	1.06
FAM86KP	0	0	0	0
FAM86LP	0	0	0	0
FAM86MP	0	0	0	0
FAM87A	0.32	1.37	0.41	0.75
FAM87B	0.09	0.26	0.02	0.06
FAM89A	11.36	2.78	5.92	3.46
FAM89B	5.34	15.85	6.78	15.02
FAM8A1	20.63	6.78	8.17	7.96
FAM8A2P	0	0	0	0.02
FAM8A3P	0	0	0	0
FAM8A4P	0	0	0	0
FAM8A6P	0.02	0	0	0
FAM90A1	0.03	0.19	0.02	0.07
FAM90A10P	0	0	0	0
FAM90A11P	0.06	0.97	0.06	0.53
FAM90A12P	0	0	0	0
FAM90A13P	0	0	0	0
FAM90A14P	0	0	0	0
FAM90A15P	0	0	0	0
FAM90A16P	0	0	0	0
FAM90A17P	0	0	0	0
FAM90A18P	0	0	0	0
FAM90A19P	0	0	0	0
FAM90A20P	0	0.04	0.02	0
FAM90A21P	0	0	0	0
FAM90A22P	0	0	0	0
FAM90A23P	0	0	0	0
FAM90A24P	0.02	0.06	0	0.03
FAM90A25P	0	0	0	0
FAM90A26	0	0	0	0.04
FAM90A27P	0	0	0	0
FAM90A2P	0.08	0.05	0.02	0.04
FAM90A3P	0	0	0	0.03
FAM90A4P	0	0.01	0	0.03
FAM90A5P	0	0	0	0.03
FAM90A6P	0	0	0	0
FAM90A7P	0	0	0	0
FAM90A8P	0	0.02	0	0
FAM90A9P	0	0	0	0
FAM91A1	57.6	13.2	19.52	18.79
FAM91A3P	0	0	0	0.03
FAM92A	26.65	2.75	17.54	3.48
FAM92A1P1	0	0	0	0
FAM92A1P2	0.02	0.04	0	0.05
FAM92B	0.02	0.03	0.04	0.03
FAM95B1	0.3	0.08	0.07	0.17
FAM96A	56.27	57.6	37	68.27
FAM96AP1	0	0	0	0
FAM96AP2	0	1.19	0.11	0.67
FAM96B	26.66	26.76	30.16	34.4
FAM98A	43.08	17.34	20.12	22.01
FAM98B	32.08	12.81	16.56	19.58
FAM98C	2.03	3.74	3.73	4.07
FAM99A	0	0	0	0
FAM99B	0	0	0	0
FAM9A	0	0.03	0	0
FAM9B	0.07	0.01	0.03	0.09
FAM9C	0.06	0.07	1.55	0.11
FAN1	12.48	9.05	5.24	7.06
FANCA	2.48	3.55	3.27	5.31
FANCB	3.73	2.38	2.36	4.47
FANCC	3.58	2.48	1.2	2.4
FANCD2	12.79	11.13	6.26	16.34
FANCD2OS	0.06	0.03	0	0
FANCD2P2	0	0	0.06	0.36
FANCE	3.31	3.06	3	4.75
FANCF	3.99	2.76	1.81	6.76
FANCG	7.97	8.05	9.08	12.2
FANCI	16.17	6.35	7.51	13.52
FANCL	19.02	7.71	7.81	9.94
FANCM	3.33	2.76	1.47	4.26
FANK1	1.48	0.88	0.36	1.91
FANK1-AS1	0	0	0	0
FAP	0.44	0.01	1.48	1.84
FAR1	35.16	17.45	19.38	21.69
FAR1-IT1	0.42	0.14	0.08	0
FAR1P1	0	0	0	0
FAR2	19.97	1.49	10.99	1.55
FAR2P1	0.04	0.22	0.12	0.08
FAR2P2	0.23	0.96	0.34	3.34
FAR2P3	0.1	0.17	0.06	0.13
FAR2P4	0	0	0	0
FARP1	61.12	1.67	13.63	1.1
FARP1-AS1	0.2	0	0	0
FARP2	78.5	14.31	20.56	13.7
FARS2	9.74	15.78	11.59	14.79
FARSA	22.08	16.87	18.52	21.69
FARSB	33.75	13.06	22.33	16.4
FARSBP1	0	0	0	0
FAS	58.16	24.42	22.16	26.66
FASLG	0.09	3.44	6.52	4.03
FASN	3.52	1.69	4.26	2.15
FASTK	11.31	9.02	8.57	8.13
FASTKD1	17.07	14.92	11.48	14.18
FASTKD2	18.2	13.88	13.37	16.46
FASTKD3	7.06	6.51	5.16	8.31
FASTKD5	7.82	8.42	9.14	9.22
FAT1	66.3	0.12	21.63	0.18
FAT1P1	0	0	0	0
FAT2	0.18	0.03	1.69	0.07
FAT3	0.02	0.05	0	0.11
FAT4	0.54	0.03	0.06	0.02
FATE1	0	0	0.07	0
FAU	294.09	865.06	314.26	944.22
FAUP1	0.99	1.48	0.54	2.6
FAUP2	0	0	0	0.07
FAXC	2.99	0	6.94	0.08
FAXDC2	67.99	1.18	12.16	1.15
FBF1	1.48	1.36	1.08	0.91
FBL	122.82	217.87	98.4	210.15
FBLIM1	19.76	3.51	1.2	4.47
FBLL1	0.1	0	0.02	0
FBLN1	5.54	0.4	17.15	0.38
FBLN2	5.63	1.43	0.39	2.65
FBLN5	0.11	3.17	3.11	1.99
FBLN7	7.9	3.1	7.89	4.29
FBN1	16.19	0.13	1.36	0.21
FBN2	0.41	0.11	0.22	0.04
FBN3	0	0	0	0
FBP1	2.14	9.23	21.22	4.81
FBP2	0.04	0.02	0	0.05
FBP2P1	0.07	0	0.66	0
FBRS	9.06	33.34	11.89	27.49
FBRSL1	1.5	3.67	1.51	2.47
FBXL12	8.75	6.7	5.96	6.21
FBXL13	0.85	0.79	0.82	0.85
FBXL14	1.81	2.65	1.3	3.24
FBXL15	0.15	0.39	0.67	0.51
FBXL16	0.06	1.13	0.32	1
FBXL17	20.44	23.65	11.56	26.7
FBXL18	1.77	2.54	1.07	2.58
FBXL19	1.67	1.9	1.66	1.65
FBXL2	4.81	0.11	5.19	0.77
FBXL20	5.26	4.75	3.2	4.19
FBXL21	0	0	0	0
FBXL22	0.42	0.2	0.09	0.17
FBXL3	18.32	30.13	11.59	37.99
FBXL4	8.83	6.55	5.08	8.07
FBXL5	62.69	53.99	38.48	60.69
FBXL6	1.84	2.13	2.92	1.59
FBXL7	16.38	0.23	4.66	0.29
FBXL8	0.89	0.87	0.84	0.97
FBXO10	1.45	3.24	1.01	4.29
FBXO11	65.12	44.23	30.66	50.56
FBXO15	0.37	0.21	0.41	0.53
FBXO16	10.47	0.52	2.11	1.06
FBXO18	22.97	40.1	34.29	44.2
FBXO2	0.09	1.96	1.19	1.53
FBXO21	13.29	9.55	6.23	9.33
FBXO22	10.49	5.6	5.67	7.44
FBXO24	0.21	0.51	0.25	0.47
FBXO25	78.66	34.4	27.98	41.06
FBXO27	1.53	2.95	3.1	1.68
FBXO28	18.89	18.68	13.33	18.75
FBXO3	32.65	12.48	13.29	16.98
FBXO3-AS1	0	0	0	0
FBXO30	6.79	2.89	2.99	7.64
FBXO31	4.61	5.31	4.79	6.52
FBXO32	55.02	6.87	75.73	8.16
FBXO33	5.49	14.76	10.91	9.61
FBXO34	11.64	10.04	7.42	14.09
FBXO36	3.34	0.93	0.77	0.94
FBXO36-IT1	0	0	0	0
FBXO38	20.89	25.5	19.32	29.2
FBXO39	0.04	0.02	0	0.11
FBXO4	8.32	10.91	6.52	12.02
FBXO40	0.03	0.11	0.22	0.1
FBXO41	0.98	5.41	2.06	5.22
FBXO42	22.49	15.43	7.04	13.37
FBXO43	1.23	0.63	1.15	0.95
FBXO44	8.86	6.59	5.65	5.07
FBXO45	9.93	4.53	5.34	6.67
FBXO46	1.49	2.4	1.28	3.08
FBXO47	0.04	0.03	0.01	0.02
FBXO48	1.26	1.54	0.69	2.18
FBXO5	10.66	7.33	5.25	12.52
FBXO6	8.22	7.08	8.03	6.23
FBXO7	177.32	90.2	151.95	92.69
FBXO8	21.74	8.2	8.92	11.41
FBXO9	33.32	30.43	24.25	33.94
FBXW10	0.01	0	0	0
FBXW11	46.77	30.2	21.24	35.56
FBXW11P1	0.59	0	0.02	0
FBXW12	0.12	0.02	0.13	0
FBXW2	20.94	27.92	17.6	33.35
FBXW4	16.28	46.07	37.9	41.74
FBXW4P1	0.02	0.09	0.17	0.52
FBXW5	4.24	9.1	6.52	11.05
FBXW7	9.39	17.44	8.48	17.23
FBXW8	12.52	4.1	3.89	5.81
FBXW9	1.27	0.7	0.96	0.76
FCAMR	0	0.29	0.04	1.77
FCAR	0.62	1.36	2.44	0.42
FCER1A	1.67	13.88	1.46	18.46
FCER1G	21.28	217.7	308.36	136.9
FCER2	0.99	181.7	5.4	250.97
FCF1	35.55	20.79	14.21	25.94
FCF1P1	0	0.08	0	0.58
FCF1P10	0	0.25	0	0
FCF1P2	9.28	6.7	3.31	7.84
FCF1P3	0	0	0.13	0
FCF1P4	0	0	0	0
FCF1P5	1.28	0	0	0.06
FCF1P6	0	0	0	0.09
FCF1P7	0.15	0	0	0
FCF1P8	0.09	0	0.04	0
FCF1P9	0	0	0	0
FCGR1A	1.26	7.32	35.32	0.53
FCGR1B	0.66	3.53	24.72	0.37
FCGR2A	48.1	29.76	236.76	13.58
FCGR2B	11.98	46.64	13.7	66.75
FCGR2C	6.44	10.31	7.54	6.29
FCGR3A	4.52	62.46	130.89	8.02
FCGR3B	0.14	0.77	2.22	0.74
FCGRT	21.07	23.17	26.29	9.49
FCHO1	0.23	8.1	1.32	11.24
FCHO2	8.87	3.03	6.57	1.96
FCHSD1	4.72	14.76	9.72	17.44
FCHSD2	20.53	73.38	22.4	72.88
FCMR	7.31	845.92	60.84	644.83
FCN1	4.76	23.14	20.68	6.9
FCN2	0	0.02	0	0
FCN3	0.05	0	0	0
FCRL1	1.35	93.85	8.28	101.96
FCRL2	0.41	39.79	1.71	21.65
FCRL3	0.82	125.04	13.21	80.92
FCRL4	0.02	3.62	0.69	3.17
FCRL5	0.35	98.14	3.98	35.52
FCRL6	0.39	2.83	3.44	4.44
FCRLA	6.81	199.85	44.62	229.18
FCRLB	1.08	0.93	1.03	1.7
FDCSP	0.48	5.71	8.59	35.97
FDFT1	309.27	94.81	43.7	103.78
FDPS	148.53	91.47	76.3	96.23
FDPSP1	0	0	0	0
FDPSP2	0	0	0.06	0
FDPSP4	0	0	0.04	0
FDPSP5	0	0	0	0
FDPSP6	0	0	0	0
FDPSP7	0.12	0.02	0.06	0
FDPSP8	0.02	0.06	0	0
FDX1	6.01	7.07	4.15	6.86
FDX1P1	0	0.15	0.16	0
FDX1P2	0	0	0	0
FDXACB1	1.13	2.97	0.95	2.59
FDXR	4.96	0.73	2.12	1.12
FECH	18.19	7.86	7.98	5.84
FECHP1	0	0	0	0
FEM1A	6.08	7.16	5.34	6.37
FEM1AP1	0	0.02	0	0
FEM1AP3	0	0	0.03	0
FEM1AP4	0	0	0	0
FEM1B	35.5	12.32	14.35	13.18
FEM1C	8.31	6.87	10.6	5.23
FEN1	17.67	10.61	13.88	22.88
FEN1P1	0.02	0	0	0
FER	17.05	4.71	10.18	3.49
FER1L4	2.81	0.11	0.2	0.14
FER1L5	0.03	0	0	0.02
FER1L6	0.01	0	0	0.02
FER1L6-AS1	0	0	0	0
FER1L6-AS2	0	0	0	0
FERD3L	0	0	0	0
FERMT1	0	0	0	0
FERMT2	98.51	0.11	14.46	0.16
FERMT3	7.51	24.77	9.03	40.17
FERP1	0.12	0.53	0.1	0.13
FES	4.17	4.27	1.77	3.61
FETUB	0	0	0.1	0
FEV	0	0	0	0
FEZ1	48.44	1.21	7.84	3.98
FEZ2	62.29	18.38	25.57	16.86
FEZF1	0	0	0.09	0
FEZF1-AS1	0	0	0.49	0
FEZF2	0.01	0	0	0
FFAR1	0	0.24	0	0.06
FFAR2	0	0	0.21	0.03
FFAR3	0	0.21	0.23	0.11
FFAR4	0	0.22	0.27	0.06
FGA	0	0	0	0
FGB	0	0	0	0.03
FGD1	8.57	0.65	3.12	0.78
FGD2	0.61	31.02	5.87	31.88
FGD3	2.01	63.6	14.94	53.35
FGD4	23.89	1.29	7.53	1.77
FGD5	0.13	0.16	0.24	0.29
FGD5-AS1	97.04	43.46	59.03	45.14
FGD6	0.22	1.75	0.71	4.72
FGF1	3	0.03	14.51	1.34
FGF10	0	0	0	0
FGF10-AS1	0	0	0	0
FGF11	1.8	0.15	0.21	0.15
FGF12	0.06	0.33	0.11	0.29
FGF12-AS1	0	0	0	0
FGF12-AS2	0	0	0	0
FGF12-AS3	0	0	0	0
FGF13	10.31	0.12	2.83	0.43
FGF13-AS1	0.24	0	0.46	0
FGF14	0	0	0	0.07
FGF14-AS1	0	0	0	0
FGF14-IT1	0	0	0	0
FGF16	0	0.06	0.02	0
FGF17	0.04	0.03	0.01	0.01
FGF18	0.02	0.03	0.03	0
FGF19	0	0	0	0.01
FGF2	3.07	0.08	1.72	0.24
FGF20	0.03	0	0.06	0.06
FGF21	0	0	0	0
FGF22	0	0	0.04	0
FGF23	2.12	0.01	0	0
FGF3	0	0	0	0
FGF4	0	0	0	0
FGF5	0.09	0.14	0.03	0.21
FGF6	0	0	0	0
FGF7	0.26	0.32	0.08	0.28
FGF7P2	0.34	0	0.54	0
FGF7P3	0.05	1.72	0.57	0.34
FGF7P4	3.99	2.28	0.3	2.64
FGF7P5	0.75	0.94	0.32	1.44
FGF7P6	1.05	0.52	0.35	0.38
FGF7P7	3.99	2.28	0	2.64
FGF7P8	0	2.88	1.59	0.07
FGF8	0	0.07	0.06	0
FGF9	0.02	0.42	0.27	0.36
FGFBP1	0	0	0	0
FGFBP2	3.09	3.27	6.02	2.99
FGFBP3	0.55	0.8	0.64	0.44
FGFR1	15.35	6.77	9.78	14.53
FGFR1OP	10.13	8.42	6.42	14.76
FGFR1OP2	85.22	79.76	52.26	79.75
FGFR1OP2P1	0	0	0	0
FGFR2	0.02	0.36	0.13	0.6
FGFR3	0.09	0.01	0.05	0.01
FGFR3P1	0	0	0	0
FGFR3P6	0	0	0	0
FGFR4	0.72	0.09	0.32	0.21
FGFRL1	2.62	1.41	1.58	2.15
FGG	0.02	0.12	0	0
FGGY	21.14	6.21	12.59	7.43
FGL1	0.15	0.05	0	0
FGL2	7.88	43.75	47.67	25.15
FGR	2.78	36.58	15.9	29.58
FH	71.19	26.67	31.26	29.73
FHAD1	0.13	0.48	1.8	0.08
FHDC1	20.34	0.08	0.72	0.16
FHIT	5.76	8.93	5.92	3.34
FHL1	0.32	8.48	1.42	9.09
FHL2	7.19	0.79	18.05	1.04
FHL3	2.78	1.73	3.15	1.5
FHL5	0.01	0.01	0	0.02
FHOD1	5.26	5.93	8	7.63
FHOD3	0.72	0.3	2.12	0.89
FHP1	0	0	0	0
FIBCD1	0.07	0	0.16	0.01
FIBIN	0	0	0	0
FIBP	64.42	45.24	26.66	54.5
FICD	0.96	0.83	1	1.03
FIG4	13.78	28.8	12.99	26.27
FIGLA	0	0.12	0	0
FIGN	10.8	0	0.68	0.07
FIGNL1	10.45	7.37	4.73	8.55
FILIP1	0.52	0.01	0	0.07
FILIP1L	0.4	2.27	0.34	1.79
FILNC1	0.18	0.03	0	0.03
FIP1L1	118.38	94.98	79.11	106.72
FIRRE	0.56	0.18	0.18	0.15
FIS1	120.24	54.79	61.28	62.22
FITM1	0.02	0.49	0.02	0.33
FITM2	8.82	1.1	3.32	1.22
FIZ1	2.96	3.25	2.32	2.72
FJX1	0.47	0.06	1.25	0.09
FKBP10	99.81	0.34	49.36	2.44
FKBP11	67.21	19.24	42.36	26.08
FKBP14	49.86	3.01	10.37	6.45
FKBP15	7.75	18.36	11.27	20.31
FKBP1A	236.49	159.26	228.53	188.6
FKBP1AP3	0	0	0	0
FKBP1B	1.56	0.29	1.13	0.4
FKBP1C	0.02	0.31	0.02	0.02
FKBP2	43.31	27.28	32.03	37.06
FKBP3	56.09	30.59	38.69	36.46
FKBP4	58.99	17.33	34.23	24.52
FKBP4P1	0.07	0.03	0	0.02
FKBP4P7	0	0	0	0
FKBP5	26.18	56.89	53.66	48.68
FKBP6	0.27	0.82	0	0.05
FKBP7	36.74	1.55	15.99	2.59
FKBP8	17.57	34.41	26.46	35.83
FKBP9	485.29	0.99	78.8	5.65
FKBP9P1	4.11	0.01	0.69	0
FKBPL	4.57	2.38	7.72	2.64
FKRP	3.05	2.05	2.69	2.12
FKTN	10.59	3	2.38	4.38
FLAD1	12.78	20.69	13.62	19.68
FLCN	8.71	5.66	4.46	5.19
FLG	0.61	0.01	0.06	0.04
FLG-AS1	1.76	0.2	0.38	0.14
FLG2	0.01	0	0	0.01
FLI1	2.71	101.92	16.02	112.11
FLII	50.42	67.82	49.84	72.8
FLNA	114.81	96.77	130.21	95.37
FLNB	137.61	10.93	20.01	13.36
FLNB-AS1	0.43	0.22	0.07	0.13
FLNC	2.37	0.01	0.08	0
FLNC-AS1	0	0	0	0
FLOT1	200.09	99.18	205.56	97.12
FLOT2	32.45	100.72	24.95	114.64
FLRT1	2.45	0.01	0.32	0
FLRT2	0.05	0.02	0.02	0
FLRT3	14.01	0.01	0.06	0.13
FLT1	0.38	0.48	0.6	0.37
FLT1P1	0	0	0	0
FLT3	0.1	7.14	0.97	4.81
FLT3LG	0.68	12.57	4.39	10.28
FLT4	0.05	0.53	0.11	0.48
FLVCR1	7.07	6.25	4.52	7.3
FLVCR1-AS1	4.61	0.96	4.38	5.37
FLVCR2	0.92	2.35	2.39	0.73
FLYWCH1	1.99	1.51	1.92	1.61
FLYWCH1P1	0	0	0	0
FLYWCH2	4.33	3.73	3.4	3.94
FMC1	11.49	7.25	5.19	4.39
FMN1	0.42	0.88	0.31	0.73
FMN2	0	0	2.22	0.65
FMNL1	1.11	39.56	12.42	41.88
FMNL2	126.46	3.79	54.44	2.79
FMNL3	5.34	35.56	11.71	46.78
FMO1	0.07	0.39	0.04	0.31
FMO10P	0	0.01	0	0
FMO11P	0	0	0	0
FMO2	0.31	0.03	0.11	0.01
FMO3	0.11	0.06	0	0.1
FMO4	9.07	3.28	5.86	4.63
FMO5	7.58	3.93	1.74	3.71
FMO6P	0	0	0.01	0
FMO7P	0	0	0.03	0
FMO8P	0	0	0	0
FMO9P	0	0	0	0
FMOD	0.24	3.23	0.14	1.42
FMR1	38.48	26	27.39	32.82
FMR1-IT1	1.62	3.3	1.51	4.65
FMR1NB	0.1	0.21	0	0
FN1	262.27	1.97	600.74	2.99
FN3K	2.91	0.27	4.01	0.71
FN3KRP	39.97	12	15.62	9.77
FNBP1	37.29	250.63	78.13	235.15
FNBP1L	10.27	1.91	22.13	2.78
FNBP4	46.22	83.17	37.63	69.19
FNDC1	0.04	0.14	0.02	0.48
FNDC1-IT1	0.05	0	0	0.38
FNDC10	0.79	0.48	6.76	0.42
FNDC11	0	0.12	0.06	0.28
FNDC3A	26	12.3	9.88	12.53
FNDC3B	30.4	4.27	16.95	3.91
FNDC3CP	0	0	0	0
FNDC4	0.74	0.01	1.22	0.09
FNDC5	0.73	0.3	0.09	0.08
FNDC7	0	0.02	0	0.04
FNDC8	0.43	0.67	0.07	0.49
FNDC9	0.05	0.28	0.65	0.33
FNIP1	12.56	7.89	4.92	7.28
FNIP2	19.61	2.48	22.96	1.81
FNTA	113.28	45.42	21.53	59.26
FNTAP2	0	0.29	0	0.42
FOCAD	5.48	3.06	3.17	3.43
FOCAD-AS1	0	0	0	0
FOLH1	3.06	0.1	0	0.03
FOLH1B	0.32	0.02	0	0
FOLR1	0.05	0	4.85	0.28
FOLR2	0.67	14.34	6.11	1.88
FOLR3	0.03	0.07	0.18	0
FOPNL	43.04	27	14.81	32.32
FOS	1036.62	1388.3	969	1168.08
FOSB	143.37	409.12	340.56	331.25
FOSL1	7.18	0.24	3.78	0.22
FOSL1P1	0	0	0	0
FOSL2	4.33	11.05	20.33	3.3
FOXA1	0	0.01	0.05	0.05
FOXA2	0	0	0	0
FOXA3	0	0	0.02	0.01
FOXB1	0	0.02	0	0
FOXB2	0	0	0	0
FOXC1	2.11	0.17	0.36	0.25
FOXC2	0	0	0	0
FOXD1	0	0	0.07	0
FOXD1-AS1	0.23	0.47	0.28	0.25
FOXD2	5.15	0.09	0.25	0.17
FOXD2-AS1	4.61	0.41	0.82	0.62
FOXD3	2.4	0	1.72	0
FOXD3-AS1	4.75	0.02	6.83	0.12
FOXD4	0.1	0	0	0.11
FOXD4L1	0	0	0.01	0.01
FOXD4L3	0	0.08	0	0.24
FOXD4L4	0.13	0.02	0.02	0.07
FOXD4L5	0.03	0.03	0	0
FOXE1	0.02	0.02	0	0.03
FOXE3	0.04	0	0	0
FOXF1	0.08	0	0	0
FOXF2	1.59	0	0.02	0
FOXG1	0	0.05	0	0
FOXH1	0	0.39	0.43	0.17
FOXI1	0	0.02	0.01	0
FOXI2	0	0	0	0
FOXI3	0	0	0	0
FOXJ1	0.05	0.6	0.1	0.02
FOXJ2	7.83	12.6	7.11	12.17
FOXJ3	55.13	32.87	21.69	34.44
FOXK1	4.59	3.07	1.86	2.64
FOXK2	13.97	13.08	12.1	14.3
FOXL1	0.01	0	0	0.01
FOXL2	0	0	0.03	0
FOXL2NB	0	0	0.01	0
FOXM1	21.63	4.13	10.72	8.12
FOXN1	0.01	0	0	0
FOXN2	43.08	25.43	14.68	29.09
FOXN3	23.03	47.78	16.76	47.22
FOXN3P1	0	0.01	0	0
FOXN4	0.01	0	0	0.02
FOXO1	6.99	34.19	6.92	37.63
FOXO1B	0	0	0.01	0
FOXO3	10.54	6.01	4.13	6.87
FOXO3B	0	0.34	0	0.31
FOXO4	9.28	9.5	9.84	10.32
FOXO6	0.14	0.02	0.22	0.08
FOXP1	6.05	55.71	12.23	45.87
FOXP1-AS1	0	0.29	0	0.04
FOXP1-IT1	0.03	0.05	0	0.01
FOXP2	0	0.13	0.11	0.02
FOXP3	0.37	4.11	2.81	11.98
FOXP4	2.42	4.47	3	5.61
FOXP4-AS1	1.72	0.43	0.63	0.41
FOXQ1	0.18	0	0	0
FOXR1	0.08	0	0	0
FOXR2	0.01	0	0.01	0
FOXRED1	15.33	5.87	4.47	7.96
FOXRED2	8.99	2.51	7.32	1.24
FOXS1	0	0	0.02	0
FPGS	9.63	46.54	18.42	47.12
FPGT	12.11	4.89	6.35	4.67
FPR1	1.71	18.02	22.28	2.8
FPR2	0.1	1.03	2.19	0.35
FPR3	2.28	10.56	24.46	3.53
FRA10AC1	15.88	21.47	15.04	22.07
FRAS1	3.83	0.18	0.35	0.24
FRAT1	0.13	2.64	1.94	2.76
FRAT2	2.56	9.43	4.15	8.94
FREM1	7.36	0	0.04	0.38
FREM2	0.64	0.03	0.43	0.05
FREM2-AS1	0	0	0	0
FREM3	0.31	0.06	0	0.82
FRG1	91.87	94.59	74.11	93.43
FRG1-DT	0.56	0.89	0.09	0.56
FRG1BP	72.61	58.74	29.34	50.18
FRG1JP	2.68	1.52	1.82	1.32
FRG2	0	0	0	0
FRG2B	0.08	0	0.16	0.03
FRG2C	0	0	0.05	0.01
FRG2FP	0	0	0	0
FRGCA	0.28	0	0.07	0.07
FRK	1.61	0.07	0.32	0.05
FRMD1	0	0.01	0	0
FRMD3	0.17	0.66	3.4	0.75
FRMD4A	7.71	2.83	4.23	2.88
FRMD4B	41.91	7.71	15.05	4
FRMD5	3.37	0.23	1.87	0.21
FRMD6	69.22	0.08	4.38	0.65
FRMD7	0.02	0	0.02	0.02
