,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000255221,0,0,2,0
ENSG00000255222,2,0,0,0
ENSG00000255223,0,0,0,0
ENSG00000255224,14,40,118,28
ENSG00000255225,0,0,0,0
ENSG00000255226,0,2,1,0
ENSG00000255227,0,0,0,0
ENSG00000255229,0,0,0,0
ENSG00000255230,0,0,0,0
ENSG00000255231,0,0,0,0
ENSG00000255232,0,0,0,0
ENSG00000255233,1,1,0,0
ENSG00000255234,1,0,1,1
ENSG00000255235,0,0,0,0
ENSG00000255236,5,0,9,8
ENSG00000255237,1,2,7,14
ENSG00000255238,0,0,0,1
ENSG00000255239,1,0,0,0
ENSG00000255240,45,3,83,9
ENSG00000255241,0,0,0,0
ENSG00000255243,0,0,0,1
ENSG00000255244,0,0,0,0
ENSG00000255245,0,0,0,0
ENSG00000255246,0,0,0,0
ENSG00000255247,0,0,0,0
ENSG00000255248,91,69,149,103
ENSG00000255250,0,1,0,3
ENSG00000255251,0,0,0,0
ENSG00000255252,0,0,0,0
ENSG00000255253,0,0,0,0
ENSG00000255254,0,0,0,0
ENSG00000255255,0,0,0,1
ENSG00000255256,0,0,0,0
ENSG00000255258,0,0,0,0
ENSG00000255259,0,0,0,0
ENSG00000255260,0,0,0,0
ENSG00000255261,0,0,0,0
ENSG00000255262,0,0,0,0
ENSG00000255265,0,0,0,0
ENSG00000255266,0,0,0,0
ENSG00000255267,4,0,0,0
ENSG00000255268,0,0,0,0
ENSG00000255269,0,0,0,0
ENSG00000255270,0,0,0,0
ENSG00000255271,0,0,0,0
ENSG00000255272,0,0,0,0
ENSG00000255273,0,0,0,0
ENSG00000255274,0,0,0,0
ENSG00000255275,1,2,0,3
ENSG00000255276,0,0,0,0
ENSG00000255277,69,55,55,106
ENSG00000255279,0,0,0,0
ENSG00000255280,0,0,0,0
ENSG00000255281,0,0,0,0
ENSG00000255282,0,3,0,1
ENSG00000255283,0,0,0,0
ENSG00000255284,86,135,215,127
ENSG00000255285,0,0,0,0
ENSG00000255286,0,0,0,0
ENSG00000255287,0,0,0,0
ENSG00000255288,0,0,0,0
ENSG00000255289,0,0,0,0
ENSG00000255291,0,0,0,0
ENSG00000255292,1,0,0,0
ENSG00000255293,0,0,0,0
ENSG00000255294,0,0,0,0
ENSG00000255295,0,0,0,0
ENSG00000255296,0,1,0,0
ENSG00000255297,0,0,0,0
ENSG00000255298,0,2,0,0
ENSG00000255299,0,0,0,2
ENSG00000255300,0,0,0,0
ENSG00000255301,0,0,0,0
ENSG00000255302,3900,1496,3222,4826
ENSG00000255303,0,0,0,0
ENSG00000255304,0,0,0,0
ENSG00000255305,0,0,0,0
ENSG00000255306,1,4,2,1
ENSG00000255307,0,0,0,0
ENSG00000255308,0,0,0,0
ENSG00000255309,0,0,0,0
ENSG00000255310,2,12,0,12
ENSG00000255311,1,0,0,0
ENSG00000255312,0,0,0,0
ENSG00000255313,0,0,0,0
ENSG00000255314,0,0,0,0
ENSG00000255315,0,0,0,0
ENSG00000255316,0,0,0,0
ENSG00000255317,0,0,0,0
ENSG00000255319,0,0,0,0
ENSG00000255320,8,12,14,9
ENSG00000255321,0,0,0,0
ENSG00000255323,0,0,0,0
ENSG00000255325,2,2,29,1
ENSG00000255326,0,0,1,4
ENSG00000255327,0,0,0,0
ENSG00000255328,4,8,37,21
ENSG00000255329,0,0,0,1
ENSG00000255330,0,1,0,1
ENSG00000255331,0,0,0,0
ENSG00000255332,0,0,0,0
ENSG00000255333,0,0,0,0
ENSG00000255334,1,0,0,0
ENSG00000255335,0,0,0,0
ENSG00000255336,0,0,0,0
ENSG00000255337,30,16,51,12
ENSG00000255338,0,0,0,0
ENSG00000255339,2,3,1,1
ENSG00000255340,0,0,0,0
ENSG00000255341,0,0,0,0
ENSG00000255342,0,0,0,0
ENSG00000255343,1,1,2,1
ENSG00000255344,0,0,0,0
ENSG00000255345,0,0,0,0
ENSG00000255346,2,0,2,3
ENSG00000255347,0,0,0,0
ENSG00000255348,0,0,0,0
ENSG00000255349,0,0,0,0
ENSG00000255350,0,0,0,0
ENSG00000255351,0,0,0,0
ENSG00000255352,0,0,0,0
ENSG00000255353,1,0,26,18
ENSG00000255355,0,0,0,2
ENSG00000255356,0,0,0,0
ENSG00000255357,0,0,0,0
ENSG00000255358,0,0,0,1
ENSG00000255359,0,0,0,0
ENSG00000255360,0,0,0,0
ENSG00000255361,0,0,0,0
ENSG00000255362,1,4,10,7
ENSG00000255363,0,2,0,1
ENSG00000255364,7,3,0,2
ENSG00000255365,0,0,0,0
ENSG00000255366,0,5,3,7
ENSG00000255367,0,0,0,0
ENSG00000255368,0,0,0,0
ENSG00000255369,0,0,0,0
ENSG00000255370,0,0,0,0
ENSG00000255371,0,0,0,0
ENSG00000255372,0,0,0,0
ENSG00000255374,0,0,0,0
ENSG00000255375,0,0,0,0
ENSG00000255376,0,0,0,0
ENSG00000255377,0,0,1,0
ENSG00000255378,0,0,0,0
ENSG00000255379,0,0,0,0
ENSG00000255380,0,0,0,0
ENSG00000255381,0,0,0,0
ENSG00000255382,0,4,2,1
ENSG00000255384,0,1,0,0
ENSG00000255385,0,0,0,10
ENSG00000255386,0,0,0,0
ENSG00000255387,0,0,0,0
ENSG00000255388,1,0,0,0
ENSG00000255389,5,19,18,11
ENSG00000255390,0,0,0,0
ENSG00000255391,0,0,0,1
ENSG00000255393,0,0,0,0
ENSG00000255394,14,29,25,39
ENSG00000255395,1,0,0,0
ENSG00000255396,0,0,0,0
ENSG00000255397,0,0,0,1
ENSG00000255398,3,32,0,16
ENSG00000255399,1,0,1,0
ENSG00000255400,0,0,0,0
ENSG00000255401,0,0,0,0
ENSG00000255402,0,0,0,0
ENSG00000255403,0,0,0,0
ENSG00000255404,0,0,0,0
ENSG00000255406,0,0,0,0
ENSG00000255408,3,2,0,8
ENSG00000255409,0,0,0,0
ENSG00000255410,0,0,0,0
ENSG00000255411,0,0,0,0
ENSG00000255413,0,0,0,0
ENSG00000255415,0,0,0,0
ENSG00000255416,0,0,0,0
ENSG00000255417,0,0,0,0
ENSG00000255418,1,0,2,1
ENSG00000255420,0,0,0,0
ENSG00000255421,1,0,0,0
ENSG00000255422,1,5,3,4
ENSG00000255423,11,6,0,11
ENSG00000255424,0,0,0,0
ENSG00000255425,0,0,0,0
ENSG00000255426,0,0,0,0
ENSG00000255427,0,0,0,0
ENSG00000255428,0,0,0,0
ENSG00000255429,0,0,0,0
ENSG00000255430,0,0,0,0
ENSG00000255431,0,0,0,0
ENSG00000255432,0,0,0,0
ENSG00000255433,0,0,0,0
ENSG00000255434,0,1,0,0
ENSG00000255435,26,19,42,14
ENSG00000255437,0,0,0,0
ENSG00000255438,0,0,0,0
ENSG00000255439,1,3,2,14
ENSG00000255440,0,0,0,0
ENSG00000255441,1,1,1,0
ENSG00000255442,0,0,0,0
ENSG00000255443,0,5,1,0
ENSG00000255444,0,0,0,0
ENSG00000255445,2,0,1,0
ENSG00000255446,1,1,0,1
ENSG00000255447,0,0,0,0
ENSG00000255448,0,0,0,0
ENSG00000255449,1,5,2,1
ENSG00000255450,0,0,0,0
ENSG00000255451,0,0,0,0
ENSG00000255452,0,1,0,0
ENSG00000255454,0,0,0,0
ENSG00000255455,77,75,94,111
ENSG00000255456,0,0,0,0
ENSG00000255457,0,0,0,0
ENSG00000255458,8,5,10,26
ENSG00000255459,0,0,0,0
ENSG00000255460,0,0,0,0
ENSG00000255461,0,0,0,0
ENSG00000255462,2,2,188,6
ENSG00000255463,0,0,0,0
ENSG00000255464,0,0,0,0
ENSG00000255466,0,0,0,0
ENSG00000255467,1,0,0,0
ENSG00000255468,115,49,100,248
ENSG00000255469,0,0,0,0
ENSG00000255470,0,0,0,0
ENSG00000255471,30,6,42,39
ENSG00000255472,0,0,0,0
ENSG00000255474,1,0,0,1
ENSG00000255475,0,0,0,0
ENSG00000255476,1,0,0,0
ENSG00000255477,0,0,0,0
ENSG00000255478,1,3,6,2
ENSG00000255479,1,1,1,3
ENSG00000255480,0,0,0,0
ENSG00000255481,0,0,0,0
ENSG00000255482,0,0,1,5
ENSG00000255483,0,0,0,0
ENSG00000255484,0,0,0,0
ENSG00000255485,0,0,0,0
ENSG00000255486,0,0,0,0
ENSG00000255487,0,0,0,0
ENSG00000255489,0,0,0,0
ENSG00000255490,0,0,0,0
ENSG00000255491,0,0,0,0
ENSG00000255492,0,0,0,0
ENSG00000255493,0,0,0,0
ENSG00000255494,0,0,0,0
ENSG00000255495,3,4,1,5
ENSG00000255496,0,0,0,0
ENSG00000255497,0,0,0,0
ENSG00000255498,0,0,0,0
ENSG00000255499,0,0,0,0
ENSG00000255500,0,0,0,0
ENSG00000255501,5,0,10,0
ENSG00000255502,0,0,0,0
ENSG00000255503,2,0,6,1
ENSG00000255504,0,0,1,0
ENSG00000255505,0,0,0,0
ENSG00000255506,0,0,0,0
ENSG00000255507,2,7,6,16
ENSG00000255508,41,46,244,53
ENSG00000255510,0,0,0,0
ENSG00000255511,0,0,0,0
ENSG00000255512,0,0,0,0
ENSG00000255513,0,0,0,0
ENSG00000255514,0,0,0,0
ENSG00000255515,0,0,0,0
ENSG00000255516,0,0,0,0
ENSG00000255517,20,18,140,91
ENSG00000255519,0,0,0,0
ENSG00000255520,0,0,0,0
ENSG00000255521,0,10,0,0
ENSG00000255522,0,0,1,0
ENSG00000255523,1,0,0,5
ENSG00000255524,2,0,0,0
ENSG00000255525,0,0,0,0
ENSG00000255526,0,0,3,1
ENSG00000255527,0,0,0,0
ENSG00000255528,0,0,0,0
ENSG00000255529,173,198,207,498
ENSG00000255530,0,0,0,0
ENSG00000255531,0,0,0,0
ENSG00000255532,0,0,1,0
ENSG00000255533,0,0,0,0
ENSG00000255534,0,0,0,0
ENSG00000255535,0,0,0,0
ENSG00000255536,0,0,0,0
ENSG00000255537,2,0,1,0
ENSG00000255538,0,0,0,0
ENSG00000255539,0,0,0,0
ENSG00000255540,0,1,0,0
ENSG00000255541,0,0,0,0
ENSG00000255542,0,0,0,0
ENSG00000255543,0,0,0,0
ENSG00000255544,0,0,0,0
ENSG00000255545,21,110,75,75
ENSG00000255547,0,0,0,0
ENSG00000255548,0,0,0,0
ENSG00000255549,0,0,0,0
ENSG00000255550,0,0,0,0
ENSG00000255551,0,0,0,0
ENSG00000255552,0,0,0,0
ENSG00000255553,0,0,0,0
ENSG00000255554,0,0,0,0
ENSG00000255555,0,0,0,0
ENSG00000255556,0,0,0,0
ENSG00000255557,1,1,1,0
ENSG00000255558,0,0,0,0
ENSG00000255559,6,7,2,2
ENSG00000255560,0,0,0,0
ENSG00000255561,28,38,68,65
ENSG00000255562,0,0,0,3
ENSG00000255563,0,0,0,0
ENSG00000255565,0,0,0,0
ENSG00000255566,1,0,0,2
ENSG00000255568,11,1,26,15
ENSG00000255569,0,2,0,0
ENSG00000255571,0,5,9,6
ENSG00000255572,0,0,0,0
ENSG00000255575,0,0,0,0
ENSG00000255580,0,0,2,0
ENSG00000255581,0,0,0,0
ENSG00000255582,0,0,0,0
ENSG00000255583,0,0,0,1
ENSG00000255585,8,5,6,3
ENSG00000255587,1,0,3,4
ENSG00000255595,0,0,0,0
ENSG00000255599,0,2,2,0
ENSG00000255605,0,0,0,0
ENSG00000255606,0,0,0,0
ENSG00000255608,0,0,0,0
ENSG00000255618,0,0,0,0
ENSG00000255621,4,2,3,3
ENSG00000255622,0,2,0,0
ENSG00000255624,0,0,8,0
ENSG00000255627,0,1,0,0
ENSG00000255628,0,0,0,0
ENSG00000255629,0,0,0,0
ENSG00000255633,1,2,0,1
ENSG00000255639,0,0,2,1
ENSG00000255641,0,0,0,0
ENSG00000255642,1,1,2,22
ENSG00000255644,4,2,0,1
ENSG00000255647,0,2,4,3
ENSG00000255648,3,1,0,0
ENSG00000255649,0,0,0,0
ENSG00000255650,9,1,9,9
ENSG00000255652,2,0,2,2
ENSG00000255653,0,0,0,0
ENSG00000255655,0,0,1,1
ENSG00000255660,0,0,0,0
ENSG00000255663,0,0,3,0
ENSG00000255664,0,0,0,0
ENSG00000255666,12,0,0,0
ENSG00000255669,0,0,0,0
ENSG00000255670,0,2,0,0
ENSG00000255671,0,1,0,0
ENSG00000255672,0,0,0,0
ENSG00000255679,0,0,0,0
ENSG00000255680,0,0,1,0
ENSG00000255686,0,0,0,0
ENSG00000255689,0,2,10,1
ENSG00000255690,67,38,40,53
ENSG00000255692,0,0,0,0
ENSG00000255693,0,0,0,0
ENSG00000255700,0,0,0,0
ENSG00000255703,0,0,0,0
ENSG00000255704,0,0,0,0
ENSG00000255710,1,0,0,0
ENSG00000255713,0,0,0,0
ENSG00000255714,0,0,0,0
ENSG00000255717,140,217,915,99
ENSG00000255723,2,2,2,0
ENSG00000255725,0,0,0,0
ENSG00000255726,0,0,0,0
ENSG00000255727,0,1,0,0
ENSG00000255730,0,0,0,1
ENSG00000255733,1,0,0,2
ENSG00000255734,0,0,0,0
ENSG00000255737,29,61,83,69
ENSG00000255741,0,0,0,1
ENSG00000255745,0,0,0,0
ENSG00000255746,0,7,9,5
ENSG00000255749,0,0,0,0
ENSG00000255750,0,0,0,0
ENSG00000255753,1,1,1,0
ENSG00000255757,0,0,0,0
ENSG00000255760,0,0,4,0
ENSG00000255763,0,0,0,0
ENSG00000255767,0,0,0,0
ENSG00000255769,14,25,19,16
ENSG00000255772,0,0,0,0
ENSG00000255774,0,1,0,0
ENSG00000255775,1,0,5,2
ENSG00000255776,0,0,0,0
ENSG00000255780,0,0,0,0
ENSG00000255786,0,0,0,0
ENSG00000255790,1,0,0,0
ENSG00000255794,3,1,1,1
ENSG00000255801,0,0,0,2
ENSG00000255804,0,0,0,0
ENSG00000255807,0,0,0,0
ENSG00000255808,0,0,0,0
ENSG00000255811,0,0,0,0
ENSG00000255814,0,0,0,0
ENSG00000255815,14,7,6,2
ENSG00000255817,0,0,0,0
ENSG00000255819,1,1,1,2
ENSG00000255823,5,3,6,13
ENSG00000255825,0,0,0,0
ENSG00000255829,0,0,0,0
ENSG00000255830,0,0,0,0
ENSG00000255833,5,2,8,6
ENSG00000255835,1,0,0,0
ENSG00000255836,0,0,0,0
ENSG00000255837,4,0,1,0
ENSG00000255838,0,0,0,0
ENSG00000255839,0,0,0,0
ENSG00000255843,2,0,1,0
ENSG00000255845,0,0,0,0
ENSG00000255847,0,1,0,0
ENSG00000255850,0,0,0,0
ENSG00000255851,0,0,0,0
ENSG00000255853,0,0,0,0
ENSG00000255855,0,0,0,0
ENSG00000255856,0,0,0,1
ENSG00000255857,20,52,211,190
ENSG00000255858,0,0,0,0
ENSG00000255860,0,0,0,1
ENSG00000255863,0,0,0,0
ENSG00000255866,0,0,0,0
ENSG00000255867,0,0,1,4
ENSG00000255870,0,0,0,0
ENSG00000255871,0,0,0,2
ENSG00000255872,0,0,0,1
ENSG00000255874,18,17,14,46
ENSG00000255875,0,0,0,0
ENSG00000255882,0,0,0,0
ENSG00000255883,4,2,4,8
ENSG00000255885,0,0,0,0
ENSG00000255886,0,0,0,0
ENSG00000255892,0,0,0,0
ENSG00000255893,0,3,1,1
ENSG00000255899,0,0,0,0
ENSG00000255900,0,0,0,0
ENSG00000255903,0,0,0,0
ENSG00000255909,0,1,2,0
ENSG00000255910,0,2,0,0
ENSG00000255916,0,0,0,0
ENSG00000255919,0,0,0,0
ENSG00000255920,0,0,0,1
ENSG00000255921,0,0,0,0
ENSG00000255923,0,0,0,0
ENSG00000255928,0,0,0,0
ENSG00000255929,0,0,0,0
ENSG00000255931,0,0,0,0
ENSG00000255933,2,0,0,0
ENSG00000255944,0,0,0,0
ENSG00000255945,0,0,0,0
ENSG00000255946,0,0,2,0
ENSG00000255947,0,0,0,0
ENSG00000255949,0,0,0,0
ENSG00000255951,0,0,0,0
ENSG00000255958,0,0,0,0
ENSG00000255959,0,0,0,0
ENSG00000255960,0,2,0,2
ENSG00000255964,1,1,0,1
ENSG00000255965,1,0,0,0
ENSG00000255966,4,0,0,3
ENSG00000255967,4,1,1,1
ENSG00000255968,7,1,1,11
ENSG00000255970,0,0,0,0
ENSG00000255972,0,0,0,0
ENSG00000255973,0,0,0,0
ENSG00000255974,30310,914,44664,110299
ENSG00000255976,0,0,0,0
ENSG00000255977,0,0,0,0
ENSG00000255980,0,3,4,2
ENSG00000255982,0,0,0,0
ENSG00000255983,0,0,0,0
ENSG00000255986,4,0,4,3
ENSG00000255987,2,1,2,1
ENSG00000255988,0,0,0,0
ENSG00000255991,0,0,0,0
ENSG00000255992,5,1,4,3
ENSG00000255993,4,0,1,4
ENSG00000255995,0,0,0,0
ENSG00000255996,0,0,0,0
ENSG00000255998,0,0,0,1
ENSG00000256001,21,4,4,7
ENSG00000256004,0,0,0,0
ENSG00000256006,1,1,0,2
ENSG00000256007,0,4,0,0
ENSG00000256008,0,0,0,0
ENSG00000256011,0,0,0,0
ENSG00000256013,0,0,0,0
ENSG00000256019,0,0,0,0
ENSG00000256020,20,1,14,37
ENSG00000256021,0,0,0,0
ENSG00000256022,0,1,0,0
ENSG00000256025,0,0,0,0
ENSG00000256028,3,4,4,3
ENSG00000256029,0,0,0,0
ENSG00000256030,0,0,2,0
ENSG00000256031,0,0,0,0
ENSG00000256034,0,0,0,0
ENSG00000256035,1,0,0,0
ENSG00000256037,0,0,0,0
ENSG00000256039,0,4,10,4
ENSG00000256040,0,0,0,0
ENSG00000256041,0,0,0,0
ENSG00000256043,3168,1087,2823,3247
ENSG00000256044,0,0,0,0
ENSG00000256045,4,4,1,3
ENSG00000256050,1,2,0,0
ENSG00000256053,227,289,785,503
ENSG00000256056,1,0,0,0
ENSG00000256060,175,163,51,152
ENSG00000256061,1,0,2,0
ENSG00000256064,0,0,0,0
ENSG00000256069,1,79,16,6
ENSG00000256070,0,0,0,0
ENSG00000256071,0,0,0,0
ENSG00000256072,0,1,0,3
ENSG00000256073,58,52,376,164
ENSG00000256075,0,1,0,0
ENSG00000256077,0,0,0,0
ENSG00000256079,0,0,0,0
ENSG00000256081,0,0,0,0
ENSG00000256083,0,0,0,0
ENSG00000256084,0,3,0,1
ENSG00000256085,0,0,0,0
ENSG00000256087,100,134,75,81
ENSG00000256091,0,0,0,0
ENSG00000256092,1,12,15,17
ENSG00000256093,0,0,0,0
ENSG00000256098,0,1,0,0
ENSG00000256100,0,0,0,1
ENSG00000256101,0,1,2,0
ENSG00000256103,1,1,0,1
ENSG00000256108,0,1,0,0
ENSG00000256115,0,0,0,0
ENSG00000256116,0,0,1,2
ENSG00000256120,0,1,1,0
ENSG00000256124,15,12,1,4
ENSG00000256125,0,0,0,0
ENSG00000256128,1,2,8,2
ENSG00000256134,0,0,0,0
ENSG00000256136,0,0,0,0
ENSG00000256137,0,0,0,0
ENSG00000256138,0,0,0,0
ENSG00000256139,13,2,1,37
ENSG00000256146,0,0,0,0
ENSG00000256148,2,6,0,9
ENSG00000256149,0,0,0,0
ENSG00000256150,0,0,0,0
ENSG00000256151,0,0,0,0
ENSG00000256152,0,0,0,0
ENSG00000256155,0,0,0,0
ENSG00000256157,0,0,0,0
ENSG00000256159,0,0,0,2
ENSG00000256162,624,1510,1839,2218
ENSG00000256166,0,0,0,1
ENSG00000256167,2,2,5,0
ENSG00000256171,0,0,0,0
ENSG00000256172,0,0,0,0
ENSG00000256176,0,0,0,0
ENSG00000256181,0,1,0,0
ENSG00000256185,40,32,39,80
ENSG00000256188,0,0,0,0
ENSG00000256189,0,0,0,0
ENSG00000256192,0,0,0,0
ENSG00000256193,0,0,0,0
ENSG00000256195,0,0,1,0
ENSG00000256196,0,0,0,0
ENSG00000256197,0,0,0,0
ENSG00000256199,0,0,0,0
ENSG00000256204,0,0,0,0
ENSG00000256206,0,0,0,1
ENSG00000256209,0,0,0,0
ENSG00000256210,12,9,5,16
ENSG00000256211,0,0,0,0
ENSG00000256218,0,0,0,0
ENSG00000256220,0,0,0,0
ENSG00000256221,0,0,0,0
ENSG00000256222,1,0,1,0
ENSG00000256223,98,92,69,85
ENSG00000256226,0,0,1,2
ENSG00000256229,7,12,9,21
ENSG00000256232,0,0,1,2
ENSG00000256234,21,32,35,40
ENSG00000256235,186,43,58,229
ENSG00000256237,0,1,1,0
ENSG00000256238,3,1,0,6
ENSG00000256243,0,0,0,1
ENSG00000256249,0,0,0,0
ENSG00000256250,2,0,0,1
ENSG00000256254,0,0,0,0
ENSG00000256256,0,0,0,0
ENSG00000256257,0,0,0,0
ENSG00000256258,0,0,0,0
ENSG00000256259,0,0,0,0
ENSG00000256262,122,70,185,177
ENSG00000256263,0,0,0,0
ENSG00000256268,0,2,0,0
ENSG00000256269,486,469,1162,1003
ENSG00000256271,0,1,6,2
ENSG00000256273,0,0,0,0
ENSG00000256274,0,1,0,0
ENSG00000256278,1,0,0,0
ENSG00000256280,1,1,1,0
ENSG00000256281,0,0,0,0
ENSG00000256282,1,0,0,1
ENSG00000256283,0,0,0,0
ENSG00000256285,0,0,0,0
ENSG00000256286,0,0,0,0
ENSG00000256287,0,0,0,0
ENSG00000256288,0,0,0,0
ENSG00000256292,0,0,0,0
ENSG00000256293,0,0,1,0
ENSG00000256294,69,52,56,105
ENSG00000256298,0,0,0,0
ENSG00000256299,1,0,0,0
ENSG00000256304,3,1,0,0
ENSG00000256306,0,0,1,0
ENSG00000256310,0,3,0,0
ENSG00000256311,0,0,0,0
ENSG00000256312,0,2,29,0
ENSG00000256314,0,0,0,0
ENSG00000256315,1,0,0,0
ENSG00000256321,0,1,0,0
ENSG00000256325,0,0,0,0
ENSG00000256331,0,0,0,0
ENSG00000256338,4,3,31,26
ENSG00000256339,0,0,0,0
ENSG00000256340,359,376,413,775
ENSG00000256341,0,0,0,0
ENSG00000256343,0,0,0,1
ENSG00000256346,0,0,0,0
ENSG00000256347,0,0,0,0
ENSG00000256349,0,0,0,0
ENSG00000256350,0,0,0,0
ENSG00000256351,0,0,0,0
ENSG00000256353,0,0,0,0
ENSG00000256355,0,0,0,0
ENSG00000256356,0,0,2,6
ENSG00000256357,1,0,0,2
ENSG00000256358,0,0,0,0
ENSG00000256361,0,1,0,0
ENSG00000256362,0,0,0,0
ENSG00000256364,0,0,0,0
ENSG00000256371,0,0,0,0
ENSG00000256372,3,0,0,0
ENSG00000256374,0,0,0,0
ENSG00000256377,4,4,5,7
ENSG00000256378,0,0,0,0
ENSG00000256379,0,0,0,0
ENSG00000256381,0,0,0,0
ENSG00000256385,0,0,0,0
ENSG00000256389,0,0,0,0
ENSG00000256393,28,36,287,154
ENSG00000256394,6,3,2,1
ENSG00000256399,0,0,0,1
ENSG00000256400,0,0,0,0
ENSG00000256403,0,0,0,0
ENSG00000256407,0,0,0,1
ENSG00000256417,0,0,0,0
ENSG00000256420,0,0,0,0
ENSG00000256422,0,0,0,0
ENSG00000256424,0,0,0,0
ENSG00000256427,2,23,5,4
ENSG00000256433,9,8,48,10
ENSG00000256436,1,0,0,0
ENSG00000256440,0,0,0,0
ENSG00000256441,0,0,0,0
ENSG00000256442,0,0,0,0
ENSG00000256443,12,1,7,0
ENSG00000256448,0,0,0,1
ENSG00000256450,0,0,0,0
ENSG00000256452,1,0,0,0
ENSG00000256453,0,0,0,0
ENSG00000256458,0,0,0,0
ENSG00000256462,0,0,0,0
ENSG00000256463,0,0,0,0
ENSG00000256464,0,0,2,1
ENSG00000256465,0,0,0,0
ENSG00000256469,0,0,0,0
ENSG00000256473,0,0,0,0
ENSG00000256474,0,0,0,0
ENSG00000256480,0,0,0,0
ENSG00000256481,0,0,0,0
ENSG00000256482,0,0,0,0
ENSG00000256484,0,0,0,0
ENSG00000256494,0,0,0,0
ENSG00000256496,0,0,0,0
ENSG00000256499,0,0,0,0
ENSG00000256500,0,0,0,0
ENSG00000256502,0,0,0,0
ENSG00000256504,0,0,0,0
ENSG00000256508,0,0,0,3
ENSG00000256512,0,0,0,0
ENSG00000256513,0,0,0,0
ENSG00000256514,0,0,0,0
ENSG00000256518,0,0,0,0
ENSG00000256525,82,99,191,152
ENSG00000256533,0,0,0,0
ENSG00000256537,370,444,1712,1049
ENSG00000256538,3,0,1,1
ENSG00000256540,10,5,3,9
ENSG00000256542,0,0,0,1
ENSG00000256546,1,10,12,5
ENSG00000256551,0,0,0,0
ENSG00000256552,0,0,3,3
ENSG00000256553,1,1,0,4
ENSG00000256557,0,0,0,0
ENSG00000256560,0,0,0,0
ENSG00000256563,0,0,0,0
ENSG00000256564,0,0,1,0
ENSG00000256566,0,0,1,0
ENSG00000256568,0,0,1,0
ENSG00000256569,0,0,0,0
ENSG00000256571,0,0,0,0
ENSG00000256574,0,0,0,0
ENSG00000256576,5,14,28,1
ENSG00000256577,1,0,0,1
ENSG00000256581,1,0,1,1
ENSG00000256582,0,0,0,0
ENSG00000256588,0,0,0,0
ENSG00000256589,0,0,0,0
ENSG00000256590,0,0,1,1
ENSG00000256591,12,4,19,8
ENSG00000256594,15,27,106,23
ENSG00000256596,0,0,0,0
ENSG00000256597,0,0,0,0
ENSG00000256603,0,1,0,0
ENSG00000256609,0,0,0,0
ENSG00000256612,1967,57,1999,1681
ENSG00000256614,0,0,0,0
ENSG00000256615,0,0,0,0
ENSG00000256616,1,2,0,6
ENSG00000256618,3,2370,3,9
ENSG00000256625,1,0,1,0
ENSG00000256626,0,0,0,0
ENSG00000256627,0,0,0,0
ENSG00000256628,11,18,77,34
ENSG00000256630,0,0,0,0
ENSG00000256632,1,4,11,29
ENSG00000256633,1,4,3,0
ENSG00000256637,0,0,0,0
ENSG00000256640,0,0,0,0
ENSG00000256642,0,0,0,0
ENSG00000256643,0,0,0,0
ENSG00000256646,1,1,2,1
ENSG00000256650,1,0,0,0
ENSG00000256651,1,0,0,0
ENSG00000256654,0,0,0,0
ENSG00000256657,0,0,0,0
ENSG00000256658,0,0,0,0
ENSG00000256659,0,0,0,0
ENSG00000256660,0,4,3,2
ENSG00000256661,0,0,0,0
ENSG00000256663,0,1,1,0
ENSG00000256664,0,0,0,0
ENSG00000256667,12,12,12,6
ENSG00000256670,0,0,0,0
ENSG00000256671,0,0,0,0
ENSG00000256672,0,0,0,0
ENSG00000256673,1,1,1,0
ENSG00000256674,0,0,0,0
ENSG00000256678,30,5,162,46
ENSG00000256681,0,0,0,0
ENSG00000256682,0,0,0,0
ENSG00000256683,132,108,72,184
ENSG00000256684,0,0,0,0
ENSG00000256686,0,0,0,0
ENSG00000256690,0,4,8,1
ENSG00000256691,0,0,0,0
ENSG00000256694,26,3,15,18
ENSG00000256695,0,0,0,0
ENSG00000256699,0,0,0,0
ENSG00000256704,0,0,0,0
ENSG00000256705,1,1,1,2
ENSG00000256706,0,0,0,0
ENSG00000256708,0,0,0,0
ENSG00000256709,0,0,0,0
ENSG00000256712,0,1,0,0
ENSG00000256713,0,2,4,3
ENSG00000256714,0,0,0,0
ENSG00000256717,0,0,0,0
ENSG00000256720,2,0,6,6
ENSG00000256721,0,0,0,0
ENSG00000256723,0,0,0,0
ENSG00000256732,0,5,0,1
ENSG00000256733,0,0,0,0
ENSG00000256734,1,0,0,0
ENSG00000256737,0,0,0,0
ENSG00000256739,0,0,0,0
ENSG00000256742,1,1,3,4
ENSG00000256745,2,5,3,4
ENSG00000256746,1,0,0,1
ENSG00000256747,0,0,0,0
ENSG00000256748,0,0,0,0
ENSG00000256750,0,0,0,0
ENSG00000256751,0,0,5,20
ENSG00000256752,0,0,0,0
ENSG00000256756,0,0,0,1
ENSG00000256757,0,0,0,0
ENSG00000256762,0,0,0,0
ENSG00000256769,0,0,0,0
ENSG00000256771,117,74,75,186
ENSG00000256774,0,0,0,0
ENSG00000256777,0,0,0,0
ENSG00000256779,0,0,0,1
ENSG00000256783,0,0,0,0
